Page Name,Amount Spent (EUR),len_amt,state
Tru Earth,100,3,Utrecth
Tom van den Nieuwenhuijzen,100,3,Utrecth
Wish,100,3,Utrecth
Nieuwsuur,100,3,Utrecth
CDA,100,3,Utrecth
Stan Peters PvdA #31,100,3,Utrecth
Greennl,100,3,Utrecth
Joan Nunnely,100,3,Utrecth
Kenneth De Boer,100,3,Utrecth
Stirezo Pro-life,100,3,Utrecth
Bioodi,100,3,Utrecth
Lilianne Ploumen,100,3,Utrecth
Inholland,100,3,Utrecth
Samsonite,100,3,Utrecth
TreeClicks,100,3,Utrecth
Dansk.nl,100,3,Utrecth
Agnes Mulder,100,3,Utrecth
Melody Deldjou Fard,100,3,Utrecth
Stadsdominee Amersfoort,100,3,Utrecth
Kennispunt Lokale Politieke Partijen,100,3,Utrecth
ONL voor Ondernemers,100,3,Utrecth
Student & Starter,100,3,Utrecth
Inwonersbelangen,100,3,Utrecth
Lab Toekomstige Generaties,100,3,Utrecth
We stand for #landrightsnow,100,3,Utrecth
Judith Sargentini,100,3,Utrecth
Sander van Waveren,100,3,Utrecth
Bart van den Brink,100,3,Utrecth
JeAchterban.nl,100,3,Utrecth
SOSMoria,100,3,Utrecth
VIER VOETERS,100,3,Utrecth
Internationale Socialisten Utrecht,100,3,Utrecth
KWF Kankerbestrijding / Dutch Cancer Society,100,3,Utrecth
Our Fish,100,3,Utrecth
Samen Professionals,100,3,Utrecth
Warmtebron Utrecht,100,3,Utrecth
Club9,100,3,Utrecth
Vecht en Veld,100,3,Utrecth
Mensen met een Missie,100,3,Utrecth
VvEwarmte,100,3,Utrecth
Oatly,100,3,Utrecth
Kwestie van Beschaving,100,3,Utrecth
"Veenwind, coöperatie voor duurzame energie in De Ronde Venen",100,3,Utrecth
KBO-Brabant,100,3,Utrecth
Kancelaria Adwokacka Arslan & Arslan Advocaten,100,3,Utrecth
Impact Hub Amsterdam,100,3,Utrecth
Natural bottle,100,3,Utrecth
Gemeente Houten,100,3,Utrecth
VBO,100,3,Utrecth
Democrats Abroad Netherlands,100,3,Utrecth
My Daily Shot of Culture,100,3,Utrecth
Good life van Eus,100,3,Utrecth
Vrijheidscolleges,100,3,Utrecth
VVD Montfoort,100,3,Utrecth
Zonnepanelendelen,100,3,Utrecth
GroenLinks,100,3,Utrecth
Americans Overseas,100,3,Utrecth
Paz Holandesa,100,3,Utrecth
The Black Archives,100,3,Utrecth
Sendcloud,100,3,Utrecth
Eerlijk Pensioenlabel,100,3,Utrecth
Ondernemersvereniging BVHilversum,100,3,Utrecth
Omdat ik het verdien,100,3,Utrecth
VVD Nijkerk-Hoevelaken,100,3,Utrecth
Republikeins Genootschap,100,3,Utrecth
Jong&Out,100,3,Utrecth
SDOK,100,3,Utrecth
Eén,100,3,Utrecth
Gemeente Utrecht,100,3,Utrecth
ChristenUnie Amsterdam,100,3,Utrecth
Test Snel Op Corona,100,3,Utrecth
MusicFlirty,100,3,Utrecth
Aromatherapyshop.nl,100,3,Utrecth
Slush,100,3,Utrecth
Tilt,100,3,Utrecth
EW Magazine,100,3,Utrecth
Unilever Benelux,100,3,Utrecth
Esther de Lange,100,3,Utrecth
TAPP coalitie,100,3,Utrecth
Rebottled,100,3,Utrecth
TivoliVredenburg,100,3,Utrecth
Kieskompas - Election Compass,100,3,Utrecth
De Haagse Hogeschool,100,3,Utrecth
NPO,100,3,Utrecth
De Afvalvergroeners,100,3,Utrecth
Koninklijk Theater Carré,100,3,Utrecth
Fisher Investments Nederland,100,3,Utrecth
FNV Supermarkt,100,3,Utrecth
Politiek van Morgen,100,3,Utrecth
Health Center Hoenderdaal,100,3,Utrecth
Braindom 2: Riddle Game,100,3,Utrecth
BNNVARA,100,3,Utrecth
CDA Veenendaal,100,3,Utrecth
EenVandaag,100,3,Utrecth
Gemeente Zeist,100,3,Utrecth
Dutch Global Health Film Festival,100,3,Utrecth
autodoc.de,100,3,Utrecth
"Atria, voor gendergelijkheid en vrouwengeschiedenis",100,3,Utrecth
Partij19,100,3,Utrecth
Slow Fashion Movement,100,3,Utrecth
IamNatural,100,3,Utrecth
CG Research,100,3,Utrecth
Nature World,100,3,Utrecth
Rob Jetten,100,3,Utrecth
CDA Vijfheerenlanden,100,3,Utrecth
VVD Bunschoten,100,3,Utrecth
ChristenUnie Ede,100,3,Utrecth
Susan Bijl,100,3,Utrecth
René Peters,100,3,Utrecth
Stichting Lezen en Schrijven,100,3,Utrecth
HUMAN,100,3,Utrecth
pinkpolitiek,100,3,Utrecth
WorldWatchers,100,3,Utrecth
StemPunt,100,3,Utrecth
De Utrechtse VVD,100,3,Utrecth
State of Youth,100,3,Utrecth
DIMES,100,3,Utrecth
SIB-Utrecht,100,3,Utrecth
IKEA,100,3,Utrecth
Oflines,100,3,Utrecth
D66 Soest-Soesterberg,100,3,Utrecth
BVHlokaal - Burger Vertegenwoordiging Heuvelrug,100,3,Utrecth
D66 Woerden,100,3,Utrecth
Zelfstroom,100,3,Utrecth
Gillette Benelux,100,3,Utrecth
Fonds Podiumkunsten,100,3,Utrecth
Most Wanted Tattoo Breda,100,3,Utrecth
Derk Boswijk,100,3,Utrecth
Aidsfonds,100,3,Utrecth
Energiedirect.nl,100,3,Utrecth
NorthstarNews,100,3,Utrecth
Jobliebe,100,3,Utrecth
Alpro,100,3,Utrecth
Ministerie van Sociale Zaken en Werkgelegenheid,100,3,Utrecth
Gemeente Amsterdam,100,3,Utrecth
Harmen Krul,100,3,Utrecth
Tineke Strik,100,3,Utrecth
Milieu Centraal,100,3,Utrecth
ROSE stories,100,3,Utrecth
Evangelische Omroep (EO),100,3,Utrecth
Carrie Underwood,100,3,Utrecth
Party of European Socialists,100,3,Utrecth
GroenLinks Veenendaal,100,3,Utrecth
PvdA Stichtse Vecht,100,3,Utrecth
Paul Tang,100,3,Utrecth
Nederland KansRijk,100,3,Utrecth
discovery+,100,3,Utrecth
FairWork,100,3,Utrecth
The Rights Forum,100,3,Utrecth
CIWF Nederland,100,3,Utrecth
Financial guidelines,100,3,Utrecth
CompuGroup Medical Nederland,100,3,Utrecth
Nederlandse Vereniging voor Veganisme,100,3,Utrecth
MIVA,100,3,Utrecth
WoonQ.nl,100,3,Utrecth
PvdA Provincie Utrecht,100,3,Utrecth
Dilara Telecom,100,3,Utrecth
DE VERLEIDERS,100,3,Utrecth
EO Metterdaad,100,3,Utrecth
ActieKampioen,100,3,Utrecth
Mitsubishi Heavy Industries,100,3,Utrecth
WhatsOrb,100,3,Utrecth
Big Rig Racing Game,100,3,Utrecth
Partij voor de Dieren Noord-Holland,100,3,Utrecth
Nacht van de Vluchteling,100,3,Utrecth
SumOfUs,100,3,Utrecth
Argos Medialogica,100,3,Utrecth
Gemeenteraad Utrecht,100,3,Utrecth
Bloomon,100,3,Utrecth
Move 24/7 Health Club Maarssen,100,3,Utrecth
The Spark Company,100,3,Utrecth
Rise of Kingdoms,100,3,Utrecth
EcoInnova,100,3,Utrecth
Ware Islam,100,3,Utrecth
DSM Bright Science Brighter Living,100,3,Utrecth
Volt Utrecht,100,3,Utrecth
Animals Asia,100,3,Utrecth
SIB-Amsterdam I DUNSA,100,3,Utrecth
"NNID, Nederlandse organisatie voor seksediversiteit",100,3,Utrecth
De Stadsbron,100,3,Utrecth
Lijst Actief - Passievolle & Toegankelijke Medezeggenschap,100,3,Utrecth
Ahmadiyya Moslim Gemeenschap Nederland,100,3,Utrecth
Everpress,100,3,Utrecth
Tikkie,100,3,Utrecth
Shopify,100,3,Utrecth
Wepublic,100,3,Utrecth
Miss Etam,100,3,Utrecth
Don Ceder,100,3,Utrecth
Pointer KRO-NCRV,100,3,Utrecth
Hoe Werkt Nederland?,100,3,Utrecth
Streetwise,100,3,Utrecth
Werken bij Capgemini,100,3,Utrecth
Peachy Friendly,100,3,Utrecth
Lisa Westerveld,100,3,Utrecth
EVERT,100,3,Utrecth
The Pascal Foundation,100,3,Utrecth
ChristenUnie Utrecht,100,3,Utrecth
Natuur & Milieu,100,3,Utrecth
ABN AMRO MeesPierson,100,3,Utrecth
VVD-Woudenberg,100,3,Utrecth
Duurzaam De Bilt,100,3,Utrecth
VVD Renswoude,100,3,Utrecth
Teamleader,100,3,Utrecth
Christenen voor Israël,100,3,Utrecth
Liliane Fonds,100,3,Utrecth
Hour of Power NL,100,3,Utrecth
Ahmadiyya Moslim Gemeenschap Nederland,100,3,Utrecth
Khalid Oubaha,100,3,Utrecth
Sophia-Vereeniging,100,3,Utrecth
Ecover Nederland,100,3,Utrecth
The Pascal Foundation,100,3,Utrecth
Defence for Children,100,3,Utrecth
Het Scheepvaartmuseum,100,3,Utrecth
Hasene,100,3,Utrecth
Werkclub,100,3,Utrecth
Argon Audio,100,3,Utrecth
nlgroeit,100,3,Utrecth
Nestlé,100,3,Utrecth
Edel Collecties,100,3,Utrecth
Gelijk=Anders,100,3,Utrecth
Stichting voor Vluchteling-Studenten UAF,100,3,Utrecth
Healthy Seas Socks,100,3,Utrecth
Stem Nederland Terug,100,3,Utrecth
TUI,100,3,Utrecth
Eerlijke Geldwijzer,100,3,Utrecth
Republikeins Genootschap,100,3,Utrecth
Stichting De Noordzee,100,3,Utrecth
Stories that Move,100,3,Utrecth
Hetgaatovermij,100,3,Utrecth
CNV Internationaal - Want iedereen heeft recht op goed werk,100,3,Utrecth
Helpwantednl,100,3,Utrecth
Authentieke Dag Vreeswijk,100,3,Utrecth
ANWB,100,3,Utrecth
Halsey,100,3,Utrecth
Minister van Gehandicaptenzaken,100,3,Utrecth
"PerspectieF, ChristenUnie-jongeren",100,3,Utrecth
Democrats Abroad Netherlands,100,3,Utrecth
De Nieuwe Liefde,100,3,Utrecth
PFZW - Pensioenfonds Zorg en Welzijn,100,3,Utrecth
Het Goede Leven,100,3,Utrecth
Essent,100,3,Utrecth
Lilian Marijnissen,100,3,Utrecth
Stem Roy Europa in,100,3,Utrecth
Texasdepot,100,3,Utrecth
CompuGroup Medical Nederland,100,3,Utrecth
Van Dal mannenmode,100,3,Utrecth
AVROTROS,100,3,Utrecth
Herstel-NL,100,3,Utrecth
Groenpand,100,3,Utrecth
LuXembourg - Let's make it happen,100,3,Utrecth
Hely,100,3,Utrecth
VVD Leusden,100,3,Utrecth
NPO 3,100,3,Utrecth
DENK,100,3,Utrecth
Fastes,100,3,Utrecth
Pointer (KRO-NCRV),100,3,Utrecth
Chris van Dam,100,3,Utrecth
Vereniging Van Rechtzoekenden,100,3,Utrecth
Jacobidebat,100,3,Utrecth
VVD Veenendaal,100,3,Utrecth
Sijmons-Dolata Makelaardij Hypotheken Verzekeringen,100,3,Utrecth
Kati Piri,100,3,Utrecth
European Committee of the Regions,100,3,Utrecth
Socialisme.nu,100,3,Utrecth
De Nieuwe Maan,100,3,Utrecth
The Good Roll,100,3,Utrecth
Amsterdam BIJ1,100,3,Utrecth
Jong Ondernemen,100,3,Utrecth
Alptekin Akdogan,100,3,Utrecth
The Social Human Movement,100,3,Utrecth
Yworks,100,3,Utrecth
FNV Schiphol,100,3,Utrecth
HalloStroom,100,3,Utrecth
Julian Bushoff,100,3,Utrecth
Plastic Soup Foundation,100,3,Utrecth
Strellson,100,3,Utrecth
HIER,100,3,Utrecth
"Ministerie van Onderwijs, Cultuur en Wetenschap",100,3,Utrecth
D66 Amsterdam,100,3,Utrecth
Leprastichting,100,3,Utrecth
CIDI,100,3,Utrecth
Nationaalhypotheekplan.nl,100,3,Utrecth
One day Future,100,3,Utrecth
SD Worx Staffing Solutions Nederland,100,3,Utrecth
Bnbverhuurcursus.nl,100,3,Utrecth
Dier&Recht,100,3,Utrecth
Cyclemedia,100,3,Utrecth
Flotsam & Jetsam Bags,100,3,Utrecth
VICTOR LOU,100,3,Utrecth
Bert-Jan Ruissen,100,3,Utrecth
Gaia,100,3,Utrecth
VoorBaarn,100,3,Utrecth
CDA Utrecht,100,3,Utrecth
CDA Barneveld,100,3,Utrecth
제주특별자치도,100,3,Utrecth
Micha Nederland,100,3,Utrecth
WindShareFund,100,3,Utrecth
Campus Fryslân - University of Groningen,100,3,Utrecth
11september.eu,100,3,Utrecth
FNV Winkelstraat,100,3,Utrecth
Partij voor de aarde,100,3,Utrecth
Dyson,100,3,Utrecth
Invitrogen,100,3,Utrecth
EW Magazine,100,3,Utrecth
Peter de Groot - VVD,100,3,Utrecth
RegrowAustralia,100,3,Utrecth
Wildlife Mission,100,3,Utrecth
Nederlands Dagblad,100,3,Utrecth
Read My World,100,3,Utrecth
News Area,100,3,Utrecth
Lokaal Veenendaal,100,3,Utrecth
D66 Internationaal,100,3,Utrecth
EcoTree International,100,3,Utrecth
ChristenUnie,100,3,Utrecth
Wise,100,3,Utrecth
Nieuwe Democratie,100,3,Utrecth
Politiek Op Maat,100,3,Utrecth
Humans of Europe,100,3,Utrecth
𝐈𝐬𝐥𝐚𝐦 𝐍𝐞𝐭,100,3,Utrecth
De Utrechtse VVD,100,3,Utrecth
PvdA Stichtse Vecht,100,3,Utrecth
Calvin Klein,100,3,Utrecth
MoonSky,100,3,Utrecth
Christelijk Informatie Platform,100,3,Utrecth
PvdA/GroenLinks De Ronde Venen,100,3,Utrecth
D66 IJsselstein,100,3,Utrecth
Groene Groeiers,100,3,Utrecth
Gemeente De Ronde Venen,100,3,Utrecth
Winston Scholsberg PSA Nederland,100,3,Utrecth
PvdA Utrecht,100,3,Utrecth
"Achraf El Johari, Jongerenburgemeester van Amsterdam",100,3,Utrecth
Lassie Rijst,100,3,Utrecth
Readly NL,100,3,Utrecth
Frank Visser,100,3,Utrecth
Bureau Buitenland,100,3,Utrecth
Groasis,100,3,Utrecth
Geheugen van Nederland,100,3,Utrecth
Ulysse Ellian,100,3,Utrecth
Bart van den Belt,100,3,Utrecth
Hugo de Jonge,100,3,Utrecth
BrightVibes NL,100,3,Utrecth
Natuurhuisje,100,3,Utrecth
World Vision Nederland,100,3,Utrecth
KiK,100,3,Utrecth
OutSystems,100,3,Utrecth
Thierry Aartsen,100,3,Utrecth
HalloStroom,100,3,Utrecth
Mustafa Amhaouch,100,3,Utrecth
Jonge Democraten Wageningen,100,3,Utrecth
NJR,100,3,Utrecth
Mijnwoningverduurzamen.nl,100,3,Utrecth
PAX,100,3,Utrecth
Joan Nunnely,100,3,Utrecth
Salima Belhaj,100,3,Utrecth
More Than Brides Alliance,100,3,Utrecth
Treecelet,100,3,Utrecth
UN Women Nederland,100,3,Utrecth
Marco Eestermans PvdA,100,3,Utrecth
NMI,100,3,Utrecth
Ride-On Nederland,100,3,Utrecth
Cabane,100,3,Utrecth
Het Vergeten Kind,100,3,Utrecth
Gert-Jan Segers,100,3,Utrecth
AquaGo,100,3,Utrecth
Stichting behoud over de Laak,100,3,Utrecth
AirNews,100,3,Utrecth
Lev. Uitgevers,100,3,Utrecth
ARMEDANGELS,100,3,Utrecth
EU Social,100,3,Utrecth
Airthings,100,3,Utrecth
Amref Flying Doctors NL,100,3,Utrecth
Gemeente Montfoort,100,3,Utrecth
Save The Seas,100,3,Utrecth
USR Diaspora,100,3,Utrecth
King Food,100,3,Utrecth
MasterClass,100,3,Utrecth
Augeo,100,3,Utrecth
De Bio Smile,100,3,Utrecth
Burger Partij Amersfoort (BPA),100,3,Utrecth
Man tot Man,100,3,Utrecth
Raad075,100,3,Utrecth
VVD - Edith van den Ham,100,3,Utrecth
Studentenfractie AKKUraatd,100,3,Utrecth
Eddy G,100,3,Utrecth
Rainbow Rose,100,3,Utrecth
Gemeente Waddinxveen,100,3,Utrecth
VVD IJsselstein,100,3,Utrecth
International Campaign for Tibet Europe,100,3,Utrecth
Batoko,100,3,Utrecth
Maarten Verheyen,100,3,Utrecth
Tegenlicht Meet Up Utrecht,100,3,Utrecth
FVD Noord-Brabant,100,3,Utrecth
We Gaan Ze Halen,100,3,Utrecth
Gigadealls,100,3,Utrecth
Lara Wolters,100,3,Utrecth
Gemeente Stichtse Vecht,100,3,Utrecth
De Stentor,100,3,Utrecth
MyLum,100,3,Utrecth
D66 Soest-Soesterberg,100,3,Utrecth
Neste,100,3,Utrecth
Lijst30,100,3,Utrecth
Gemeente Houten,100,3,Utrecth
EveryOffice Recreatie,100,3,Utrecth
Calconditioner Waterontharder,100,3,Utrecth
Raad075,100,3,Utrecth
Aartjan van Erkel - Internet copywriter,100,3,Utrecth
Fonda Sahla,100,3,Utrecth
Niels van den Berge,100,3,Utrecth
Algemene Waterschapspartij Nederland,100,3,Utrecth
Ik wil leren,100,3,Utrecth
Etergo,100,3,Utrecth
Aqua Purica,100,3,Utrecth
Agnes Jongerius,100,3,Utrecth
Cultuur onder Vuur,100,3,Utrecth
Trimbos-instituut,100,3,Utrecth
VPRO,100,3,Utrecth
ChaNail Design,100,3,Utrecth
Joris Thijssen,100,3,Utrecth
"Saïd Business School, University of Oxford",100,3,Utrecth
Pascales,100,3,Utrecth
Felix Community,100,3,Utrecth
Rode Hoed,100,3,Utrecth
Veteranenombudsman,100,3,Utrecth
Partij van de Arbeid (PvdA),100,3,Utrecth
Radio 538,100,3,Utrecth
YUYU Bottle,100,3,Utrecth
Slachtofferhulp Nederland,100,3,Utrecth
VVD Culemborg,100,3,Utrecth
FIBRA - Frente Internacional Brasileira Contra o Golpe e Pela Democracia,100,3,Utrecth
VVD Culemborg,100,3,Utrecth
Bomenbezorgd.nl,100,3,Utrecth
Titan Power+,100,3,Utrecth
Blossom Books,100,3,Utrecth
Lev Haolam - Supporting Israel,100,3,Utrecth
Oceanmata,100,3,Utrecth
"PerspectieF, ChristenUnie-jongeren",100,3,Utrecth
Consumentenbond,100,3,Utrecth
Politieke Adem,100,3,Utrecth
FRIS Woningmakelaars,100,3,Utrecth
Ambtenarensalaris,100,3,Utrecth
Motivaction International,100,3,Utrecth
VNO-NCW,100,3,Utrecth
The Black Archives,100,3,Utrecth
MisterGreen Electric Lease,100,3,Utrecth
SGP Jongeren Vallei & Rijn,100,3,Utrecth
Kitty Jong FNV,100,3,Utrecth
Homethings,100,3,Utrecth
Partij voor de Dieren Almere,100,3,Utrecth
Cupigo,100,3,Utrecth
Zettle by PayPal,100,3,Utrecth
OPRECHT.nu,100,3,Utrecth
Europe in my region,100,3,Utrecth
Atoom Alliantie,100,3,Utrecth
Humble Household,100,3,Utrecth
Agnes Jongerius,100,3,Utrecth
Forum voor Democratie Noord-Holland -FVD,100,3,Utrecth
Naranjas del Carmen - naranjasdelcarmen.com,100,3,Utrecth
FireLox,100,3,Utrecth
EuropeRemembers_NL,100,3,Utrecth
Daniel Koerhuis,100,3,Utrecth
Groen Rechts,100,3,Utrecth
Jonge Socialisten in de PvdA,100,3,Utrecth
Zonnepanelen-stroom.nl,100,3,Utrecth
Pampers,100,3,Utrecth
Ftrprf,100,3,Utrecth
KeukenFlex,100,3,Utrecth
Plesstics,100,3,Utrecth
Brandpunt+,100,3,Utrecth
De Rotterdamse VVD,100,3,Utrecth
European Christian Political Movement,100,3,Utrecth
Consumentenkeuzehulp.nl,100,3,Utrecth
Reinier Van Lanschot,100,3,Utrecth
Volkstyle Base,100,3,Utrecth
JFVD,100,3,Utrecth
Left To Survive,100,3,Utrecth
Wakker Dier,100,3,Utrecth
Creative Valley,100,3,Utrecth
Việt Mix +,100,3,Utrecth
Lefrik,100,3,Utrecth
Radboud University,100,3,Utrecth
Zwarte Piet onder Vuur,100,3,Utrecth
Peugeot,100,3,Utrecth
4ocean,100,3,Utrecth
Partij voor de Dieren Zuid-Holland,100,3,Utrecth
Auto Erkend,100,3,Utrecth
UNICEF Nederland,100,3,Utrecth
Bas Bijlsma PvdA,100,3,Utrecth
UvA Faculteit der Rechtsgeleerdheid,100,3,Utrecth
Tom Rotmans,100,3,Utrecth
PRP Designs,100,3,Utrecth
DK-Nyheder,100,3,Utrecth
Borsa Yatırım Danışmanı,100,3,Utrecth
COC Nederland,100,3,Utrecth
Het AmsterdamDiner,100,3,Utrecth
Brabants Dagblad,100,3,Utrecth
"PerspectieF, ChristenUnie-jongeren",100,3,Utrecth
Eastpak,100,3,Utrecth
Cooking Diary,100,3,Utrecth
UReka,100,3,Utrecth
Pvda Den Bosch,100,3,Utrecth
Longfonds,100,3,Utrecth
Gemeente Nieuwkoop,100,3,Utrecth
JOVD Utrecht e.o.,100,3,Utrecth
Lokaal-Hengelo,100,3,Utrecth
President Studio,100,3,Utrecth
Vastenactie,100,3,Utrecth
Wild day baboon,100,3,Utrecth
Time to Help Nederland,100,3,Utrecth
KRO-NCRV,100,3,Utrecth
Vrijheidscolleges,100,3,Utrecth
Abassin Nessar,100,3,Utrecth
Harry van Caem,100,3,Utrecth
Arval Nederland,100,3,Utrecth
"Carline van Breugel, #32",100,3,Utrecth
IFMSA-NL,100,3,Utrecth
Bont voor Dieren,100,3,Utrecth
Eigen Haard,100,3,Utrecth
Huibert van Rossum CDA,100,3,Utrecth
Ukkepuk Spa & Wellness Baby Spa,100,3,Utrecth
EPP - European People's Party,100,3,Utrecth
BirdLife International,100,3,Utrecth
Raad075,100,3,Utrecth
Arne Weverling,100,3,Utrecth
Fractie Front,100,3,Utrecth
Ecosystem Restoration Camps,100,3,Utrecth
Oude eiken balken,100,3,Utrecth
University of Sussex,100,3,Utrecth
Blacklivematters.nl,100,3,Utrecth
Albert Heijn Burgemeester Reigerstraat,100,3,Utrecth
Tuincentrum Osdorp,100,3,Utrecth
The Radical Tea Towel Company,100,3,Utrecth
Dus Wat Gaan Wij Doen,100,3,Utrecth
FNV Zorg & Welzijn,100,3,Utrecth
Avaaz,100,3,Utrecth
Strong Babies,100,3,Utrecth
Jonge Klimaatbeweging,100,3,Utrecth
MailBlue,100,3,Utrecth
Stijn Verwoest,100,3,Utrecth
Duurzame-Rietjes,100,3,Utrecth
Spotify,100,3,Utrecth
SP,100,3,Utrecth
Shimano-Road,100,3,Utrecth
International Federation of Red Cross and Red Crescent Societies,100,3,Utrecth
PimpsandPearls,100,3,Utrecth
BouwGarant,100,3,Utrecth
Consumentenbond,100,3,Utrecth
Studio Roosegaarde,100,3,Utrecth
Vereniging basisinkomen,100,3,Utrecth
JOVD Utrecht e.o.,100,3,Utrecth
ChristenUnie Zwolle,100,3,Utrecth
Hilde de Groot - Wethouder in Houten,100,3,Utrecth
Bespaarkiosk.nl,100,3,Utrecth
Alive to Earth,100,3,Utrecth
Christenen voor Israël,100,3,Utrecth
Mirthe Biemans,100,3,Utrecth
Klimaatwinnaars,100,3,Utrecth
LUX Nijmegen,100,3,Utrecth
Lijst VUUR,100,3,Utrecth
MovieZone.nl,100,3,Utrecth
Regionaal Energieloket,100,3,Utrecth
Cobags,100,3,Utrecth
overbevolking.nl - Club van Tien Miljoen,100,3,Utrecth
Wetenschappelijk Instituut ChristenUnie,100,3,Utrecth
Stichting Rowing Without Limits,100,3,Utrecth
EnerSolar zonne-energie,100,3,Utrecth
Edwin Selij,100,3,Utrecth
World on Fire,100,3,Utrecth
CDA Kop van Noord Holland,100,3,Utrecth
Contractbook,100,3,Utrecth
Kies MBO,100,3,Utrecth
ZilverSieraden.nl,100,3,Utrecth
De Verhalen van Groningen,100,3,Utrecth
Paul Tang,100,3,Utrecth
ACT Commodities,100,3,Utrecth
Games area,100,3,Utrecth
Catharina Rinzema,100,3,Utrecth
Baked with Love,100,3,Utrecth
Klaas Dijkhoff,100,3,Utrecth
Hyundai.Lifestyle,100,3,Utrecth
Vereniging Band en Milieu / RecyBEM,100,3,Utrecth
Hokkers Tattoo,100,3,Utrecth
Chevrosshop,100,3,Utrecth
I Heart My Baby Kids,100,3,Utrecth
Arjan de Kok - FVD,100,3,Utrecth
Mensen met een Missie,100,3,Utrecth
Gemeente Waddinxveen,100,3,Utrecth
Partij voor de Dieren,100,3,Utrecth
amey Amsterdam,100,3,Utrecth
Rainforest Action Network,100,3,Utrecth
Barbara Oomen - PvdA,100,3,Utrecth
Jongerenvertegenwoordigers,100,3,Utrecth
VVD Soest/Soesterberg,100,3,Utrecth
TripActions,100,3,Utrecth
NRC Live,100,3,Utrecth
politieknederland,100,3,Utrecth
Fentestik,100,3,Utrecth
Shadow Game,100,3,Utrecth
Forza De Bilt,100,3,Utrecth
GroenLinks Renkum,100,3,Utrecth
Sander Bos - wethouder in de gemeente Houten,100,3,Utrecth
sinclairsimons_huppekeeee,100,3,Utrecth
Gemeente 's-Hertogenbosch,100,3,Utrecth
Bloomberg,100,3,Utrecth
REMEON Beveiliging B.V.,100,3,Utrecth
The Bold Chapter,100,3,Utrecth
Lensdeal - Contactlenzen,100,3,Utrecth
Intermediair,100,3,Utrecth
Stijn Warmenhoven,100,3,Utrecth
The Social Tribune,100,3,Utrecth
Entropy,100,3,Utrecth
SGP Utrechtse Heuvelrug,100,3,Utrecth
Curriculum.nu,100,3,Utrecth
Kim Minten,100,3,Utrecth
SDG Nederland,100,3,Utrecth
Heifer Nederland,100,3,Utrecth
Party for the Animals,100,3,Utrecth
MaxiMode,100,3,Utrecth
Jalt,100,3,Utrecth
Webflow,100,3,Utrecth
Cordaid,100,3,Utrecth
VICE World News,100,3,Utrecth
Guardian Weekly,100,3,Utrecth
Classics To Go,100,3,Utrecth
26.000 Gezichten,100,3,Utrecth
King Kong Co.,100,3,Utrecth
Follow Your Legend,100,3,Utrecth
Desinfectie,100,3,Utrecth
Hofmeier,100,3,Utrecth
Rise of Empires: Ice and Fire,100,3,Utrecth
ChristenUnie-SGP Oudewater,100,3,Utrecth
Vereniging Thorium Energie,100,3,Utrecth
Vanja,100,3,Utrecth
Visma Software BV,100,3,Utrecth
size?,100,3,Utrecth
Fun Games For Free,100,3,Utrecth
Plastic Free Amsterdam,100,3,Utrecth
Talkshow M Kro-Ncrv,100,3,Utrecth
Radboud Fonds,100,3,Utrecth
Energie Vergelijken & Besparen,100,3,Utrecth
Leren voor de Toekomst,100,3,Utrecth
Speech Republic,100,3,Utrecth
Libertaire Partij - LP,100,3,Utrecth
Fox - Ton,100,3,Utrecth
Red een Kind,100,3,Utrecth
GroenLinks Veenendaal,100,3,Utrecth
kanker.nl,100,3,Utrecth
Van Heek Medical,100,3,Utrecth
USR Diaspora - Olanda,100,3,Utrecth
Het Voedselkabinet,100,3,Utrecth
Stop Wapenhandel,100,3,Utrecth
Israël in Nederland,100,3,Utrecth
luuknaardevn,100,3,Utrecth
Kies voor klimaat,100,3,Utrecth
Nederlands Kamerkoor,100,3,Utrecth
Scholieren.com,100,3,Utrecth
Groupe Renault,100,3,Utrecth
Ftrprf,100,3,Utrecth
"CDJA, CDA-jongeren",100,3,Utrecth
FG STYLES,100,3,Utrecth
Son of a Tailor,100,3,Utrecth
ADK Trading,100,3,Utrecth
Iukkai,100,3,Utrecth
Vattenfall,100,3,Utrecth
Pretty ECO,100,3,Utrecth
Danielle Hirsch,100,3,Utrecth
PASA Primates: Pan African Sanctuary Alliance,100,3,Utrecth
Cowboy,100,3,Utrecth
Impact City - The Hague Innovators,100,3,Utrecth
War Child Holland,100,3,Utrecth
Meewind,100,3,Utrecth
Uw financiële assistent,100,3,Utrecth
Let's Break the Shame,100,3,Utrecth
Jan Puts,100,3,Utrecth
Stichting Buitenzorg Beheer,100,3,Utrecth
Nationale Wetenschapsagenda,100,3,Utrecth
Rietje van bamboe,100,3,Utrecth
Theo Alkemade,100,3,Utrecth
Søstrene Grene,100,3,Utrecth
Missie H2,100,3,Utrecth
JOVD Rijk van Nijmegen c.a.,100,3,Utrecth
Creative Europe,100,3,Utrecth
Gemeente Soest,100,3,Utrecth
overbevolking.nl - Club van Tien Miljoen,100,3,Utrecth
Joël Voordewind,100,3,Utrecth
Independer.nl,100,3,Utrecth
PvdA Woerden,100,3,Utrecth
Crush+,100,3,Utrecth
Dopper,100,3,Utrecth
Start Foundation,100,3,Utrecth
MAMA,100,3,Utrecth
Takemeto.nl,100,3,Utrecth
Kati Piri,100,3,Utrecth
Mercy Ships Holland,100,3,Utrecth
