Page Name,Amount Spent (EUR),len_amt,state
Proefdiervrij,234,3,Noord Holland 
VIER VOETERS,234,3,Noord Holland 
Paz Holandesa,233,3,Noord Holland 
Peter van Kessel,233,3,Noord Holland 
VPRO Tegenlicht,231,3,Noord Holland 
Aromatherapyshop.nl,229,3,Noord Holland 
Greennl,229,3,Noord Holland 
DIMES,228,3,Noord Holland 
Open Universiteit,228,3,Noord Holland 
Pvda Huizen,226,3,Noord Holland 
ALIBI Magazine,225,3,Noord Holland 
VVD Stede Broec,225,3,Noord Holland 
Wise,224,3,Noord Holland 
Koninklijk Theater Carré,223,3,Noord Holland 
Zonnepanelendelen,217,3,Noord Holland 
De Afvalvergroeners,216,3,Noord Holland 
Wish,215,3,Noord Holland 
MIVA,214,3,Noord Holland 
De Bio Smile,214,3,Noord Holland 
Volvo Ton van Kuyk,214,3,Noord Holland 
Oatly,212,3,Noord Holland 
Nieuwsuur,212,3,Noord Holland 
Progress,211,3,Noord Holland 
TNO,211,3,Noord Holland 
Woonnu,211,3,Noord Holland 
Samen Professionals,211,3,Noord Holland 
PAX,210,3,Noord Holland 
Dansk.nl,209,3,Noord Holland 
Fiom,208,3,Noord Holland 
CDA,208,3,Noord Holland 
HUMAN,207,3,Noord Holland 
Amsterdam Museum,207,3,Noord Holland 
Fisher Investments Nederland,206,3,Noord Holland 
Ahmadiyya Moslim Gemeenschap Nederland,206,3,Noord Holland 
Rode Hoed,205,3,Noord Holland 
Theo Alkemade,205,3,Noord Holland 
Agnes Mulder,205,3,Noord Holland 
Animals Asia,205,3,Noord Holland 
JeAchterban.nl,205,3,Noord Holland 
CDA Stede Broec,204,3,Noord Holland 
Good life van Eus,202,3,Noord Holland 
Nietmijnschuld,201,3,Noord Holland 
Jouw Noord-Holland,200,3,Noord Holland 
PS Het Parool,200,3,Noord Holland 
Alkmaarse VVD,200,3,Noord Holland 
Shopify,200,3,Noord Holland 
NPO Zapp,200,3,Noord Holland 
Eerlijk Pensioenlabel,199,3,Noord Holland 
EW Magazine,199,3,Noord Holland 
Het Nautisch Hoofdkwartier,198,3,Noord Holland 
Waternet,196,3,Noord Holland 
Everpress,195,3,Noord Holland 
Omdat ik het verdien,195,3,Noord Holland 
"ROOD, jong in de SP",194,3,Noord Holland 
ONL voor Ondernemers,194,3,Noord Holland 
BNNVARA,194,3,Noord Holland 
Bas Filippini Vrij en Sociaal Nederland,192,3,Noord Holland 
Mitsubishi Heavy Industries,191,3,Noord Holland 
The Spark Company,191,3,Noord Holland 
Oflines,188,3,Noord Holland 
UUinActie,188,3,Noord Holland 
TAPP coalitie,183,3,Noord Holland 
Don Ceder,183,3,Noord Holland 
Duurzaam020,182,3,Noord Holland 
discovery+,181,3,Noord Holland 
Mona Keijzer,181,3,Noord Holland 
We stand for #landrightsnow,181,3,Noord Holland 
Braindom 2: Riddle Game,180,3,Noord Holland 
Kieskompas - Election Compass,180,3,Noord Holland 
Wijkcentrum De Pijp,179,3,Noord Holland 
Gemeente Diemen,179,3,Noord Holland 
CDA Uithoorn - De Kwakel,177,3,Noord Holland 
Natural bottle,175,3,Noord Holland 
autodoc.de,174,3,Noord Holland 
MasterClass,174,3,Noord Holland 
Pakhuis de Zwijger,173,3,Noord Holland 
Regionaal Energieloket,173,3,Noord Holland 
Gaia,171,3,Noord Holland 
The Rights Forum,169,3,Noord Holland 
Gijs van Dijk,169,3,Noord Holland 
Joan Nunnely,169,3,Noord Holland 
Amsterdamse Bostheater,168,3,Noord Holland 
"NNID, Nederlandse organisatie voor seksediversiteit",168,3,Noord Holland 
Stirezo Pro-life,167,3,Noord Holland 
PvdA Beverwijk-Wijk aan Zee,166,3,Noord Holland 
Stichting Lezen en Schrijven,166,3,Noord Holland 
IamNatural,166,3,Noord Holland 
The Pascal Foundation,166,3,Noord Holland 
MusicFlirty,166,3,Noord Holland 
Rob Jetten,165,3,Noord Holland 
Aidsfonds,164,3,Noord Holland 
EcoInnova,164,3,Noord Holland 
WhatsOrb,163,3,Noord Holland 
GroenLinks,162,3,Noord Holland 
Partij voor de Dieren Noord-Holland,162,3,Noord Holland 
SIB-Amsterdam I DUNSA,162,3,Noord Holland 
USR Diaspora,162,3,Noord Holland 
StemPunt,161,3,Noord Holland 
Liliane Fonds,161,3,Noord Holland 
Stan Peters PvdA #31,161,3,Noord Holland 
Most Wanted Tattoo Breda,161,3,Noord Holland 
René Peters,161,3,Noord Holland 
Rebekka Timmer,160,3,Noord Holland 
Gemeente Uitgeest,159,3,Noord Holland 
Financial guidelines,158,3,Noord Holland 
Nature World,158,3,Noord Holland 
FNV Supermarkt,158,3,Noord Holland 
Inholland,157,3,Noord Holland 
Eén,157,3,Noord Holland 
Rebottled,156,3,Noord Holland 
Het Scheepvaartmuseum,156,3,Noord Holland 
Jelle Beemsterboer,155,3,Noord Holland 
Tilt,155,3,Noord Holland 
Gemeente Diemen,154,3,Noord Holland 
VVD Wormerland,154,3,Noord Holland 
Jong&Out,153,3,Noord Holland 
Zelfstroom,152,3,Noord Holland 
ZO=Zuidoost,151,3,Noord Holland 
Pvda Amsterdam Oost,150,3,Noord Holland 
Tineke Strik,150,3,Noord Holland 
nlgroeit,149,3,Noord Holland 
Jan Paternotte,148,3,Noord Holland 
Rise of Kingdoms,148,3,Noord Holland 
State of Youth,148,3,Noord Holland 
Songul Mutluer,148,3,Noord Holland 
NPO,147,3,Noord Holland 
Gemeente Gooise Meren,147,3,Noord Holland 
Fonds Podiumkunsten,147,3,Noord Holland 
Esther de Lange,146,3,Noord Holland 
Wijdoenwat.nl,145,3,Noord Holland 
Republikeins Genootschap,145,3,Noord Holland 
Hely,143,3,Noord Holland 
