Page ID,Party,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library,valid_adds
544678845644158,PvdA,PvdA Steenbergen,Nadir Baali,124,2,no
147722648491,D66,D66 Leiden,D66 Leiden,124,5,no
1393529407559073,PvdA,PvdA Nijmegen,Hennie Derks,123,7,no
1414350562183210,GroenLinks,GroenLinks Alkmaar,These ads ran without a disclaimer,122,6,yes
190690801121703,CDA,CDA Meppel,CDA Meppel,121,7,no
937513793002837,VVD,VVD Zaanstad,VVD Zaanstad,120,6,no
135642563196256,CDA,"CDJA, CDA-jongeren",Jeltje Straatman,120,4,no
144728552295443,PvdA,PvdA Amersfoort,Jan-Herman Koller,120,3,no
325974597457192,GroenLinks,GroenLinks 's-Hertogenbosch,GroenLinks Den Bosch,119,7,no
628289240576959,D66,D66 Boxtel,D66 Boxtel,119,22,no
139047456304129,PvdA,PvdA Roze Netwerk,PvdA Roze Netwerk,118,8,no
408987755826785,SP,SP Arnhem,These ads ran without a disclaimer,118,7,yes
366349027034383,PvdA,PvdA Heumen,PvdA Heumen,116,14,no
366912353386282,PvdA,PvdA Krimpenerwaard,PvdA Krimpenerwaard,112,19,no
219046481529214,ChristenUnie,ChristenUnie Harderwijk/Hierden,ChristenUnie Harderwijk,111,12,no
138553482994927,PvdD,Partij voor de Dieren Dordrecht,Partij voor de Dieren Dordrecht,110,5,no
1475272182780528,SGP,SGP Urk,These ads ran without a disclaimer,109,5,yes
208032132579030,PvdA,PvdA Groningen,Björn Schoonbergen,108,15,no
272230419490546,VVD,VVD Tilburg,Joost Möller,107,3,no
253375728108660,D66,D66 Oude IJsselstreek,D66 Oude IJsselstreek,107,2,no
117128052210675,VVD,VVD Halderberge,These ads ran without a disclaimer,106,7,yes
277015828628,SP,SP Leiden,SP Leiden,102,5,no
101854911791937,Wij zijn NL,Wij zijn NL,Erwin Versteeg,102,9,no
101039903379008,VVD,Dordtse VVD,These ads ran without a disclaimer,100,5,yes
101039903379008,VVD,Dordtse VVD,Luca Van Ballegooijen,100,3,no
1011775145585656,VVD,VVD Westerkwartier,These ads ran without a disclaimer,100,2,yes
105913804794830,VVD,VVD Regio Fryslân,Marc Van Niekerk Thie,100,2,no
107610150609555,VVD,VVD Gulpen-Wittem,These ads ran without a disclaimer,100,1,yes
114055275385794,VVD,VVD IJsselstein,Bas Van Rooijen,100,2,no
114631488645360,VVD,De Haagse VVD,Suzanne Van Erven,100,4,no
114631488645360,VVD,De Haagse VVD,These ads ran without a disclaimer,100,2,yes
115029341980720,VVD,VVD Renswoude,Bart Bisschop,100,7,no
115029341980720,VVD,VVD Renswoude,These ads ran without a disclaimer,100,6,yes
1160701620720058,VVD,Meerssense VVD,Meerssense VVD,100,2,no
117095328492297,VVD,VVD Vught-Helvoirt-Cromvoirt,VVD Vught-Helvoirt-Cromvoirt,100,2,no
121704097936297,VVD,VVD Groningen,These ads ran without a disclaimer,100,1,yes
1228215290628525,VVD,VVD Gemert-Bakel,These ads ran without a disclaimer,100,5,yes
123074804424518,VVD,VVD Venlo,These ads ran without a disclaimer,100,4,yes
128640250574683,VVD,De Utrechtse VVD,Verlinden Kimberley Bernadina Paulina,100,6,no
128640250574683,VVD,De Utrechtse VVD,These ads ran without a disclaimer,100,2,yes
135925936464418,VVD,VVD Harderwijk-Hierden,Peter De Groot,100,4,no
1377601545801431,VVD,VVD Leeuwarden,These ads ran without a disclaimer,100,1,yes
1390230454568514,VVD,VVD Noordoostpolder,These ads ran without a disclaimer,100,2,yes
1390230454568514,VVD,VVD Noordoostpolder,Van Os Jasper Leonardus Phillipus,100,1,no
1422274718011012,VVD,De Deurnese VVD,These ads ran without a disclaimer,100,3,yes
145751698819583,VVD,VVD Leiden,These ads ran without a disclaimer,100,2,yes
148005128902583,VVD,VVD Heemskerk,Karin Smit,100,4,no
152313778157632,VVD,De Amsterdamse VVD,These ads ran without a disclaimer,100,2,yes
1530277467215488,VVD,VVD Drenthe,These ads ran without a disclaimer,100,5,yes
153280281401807,VVD,Graafse VVD,These ads ran without a disclaimer,100,1,yes
1543542572602854,VVD,VVD Altena,These ads ran without a disclaimer,100,1,yes
155956504541781,VVD,VVD Oisterwijk,These ads ran without a disclaimer,100,1,yes
1563699950578926,VVD,VVD Waterschap Limburg,These ads ran without a disclaimer,100,1,yes
1593395534300029,VVD,VVD Bernheze,VVD Bernheze,100,3,no
160488060781842,VVD,VVD Olst-Wijhe,Groote Schaarsberg Stefan Marius,100,3,no
